word1,word2,pos,sv_score,relation,w1_num_v_senses,w2_num_v_senses,w1_frames,w2_frames,mean_rating,sd_rating,shared_frames,w1_frame_count,w2_frame_count,relation_index,shares_frames_bool,cf_similarity,cf_scaled_sim
take,remove,V,6.81,SYNONYMS,42,8,"['Basic Transitive', 'NP-PP', 'PP-NP', 'NP-PP', 'NP-PP-PP', 'NP-ADVP-PRED']","['Basic Transitive', 'NP-PP', 'NP-PP']",6.833333333333333,1.7919573407620817,2,6,3,4,True,0.14666640345427495,3.1733312276341996
walk,trail,V,4.81,COHYPONYMS,10,5,"['Basic Intransitive', 'PP', 'NP-PP', 'NP-PP', 'NP', 'NP', 'Locative Preposition Drop', 'NP-PP', 'NP-PP', 'NP-ADJP', 'NP-PP', 'PP-NP', 'NP-PP', 'Locative Inversion']","['Basic Transitive', 'NP-PP', 'PP']",4.833333333333333,0.875595035770913,2,14,3,1,True,0.3475948080076289,4.780758464061031
feed,starve,V,1.49,ANTONYMS,12,5,"['Basic Transitive', 'NP-PP', 'Dative']","['Transitive', 'Intransitive', 'PP', 'NP-PP']",1.5,1.8529256146249728,1,3,4,0,True,-0.14435915720503056,0.8451267423597555
shine,polish,V,7.8,SYNONYMS,10,3,"['Intransitive', 'PP', 'PP', 'Locative Inversion', 'There-insertion', 'NP']","['Transitive', 'NP-PP']",7.833333333333334,1.0593499054713802,0,6,2,4,False,0.11447043586313091,2.915763486905047
calculate,add,V,5.98,HYPER/HYPONYMS,6,6,['-1'],"['NP-PP', 'Simple Reciprocal Transitive', 'Together Reciprocal Alternation Transitive', 'Middle Construction', 'Middle Construction', 'Middle Construction']",6.0,2.1186998109427604,0,1,6,2,False,0.03218588413559471,2.2574870730847576
cheat,sneak,V,3.65,NONE,4,4,"['NP-PP', 'NP-PP', 'Transitive']","['Basic Intransitive', 'PP', 'NP-PP', 'NP-PP', 'NP', 'NP', 'Locative Preposition Drop', 'NP-PP', 'NP-PP', 'NP-ADJP', 'NP-PP', 'PP-NP', 'NP-PP', 'Locative Inversion']",3.666666666666667,1.3165611772087664,1,3,14,3,True,0.22161790735578474,3.772943258846278
pardon,forgive,V,8.96,HYPER/HYPONYMS,2,2,['NP-PP'],"['Basic Transitive', 'NP-PP', 'NP', 'NP-PP', 'NP-TOBE']",9.000000000000002,0.6992058987801011,1,1,5,2,True,0.9042271274618556,9.233817019694845
smell,sniff,V,7.97,HYPER/HYPONYMS,5,2,"['Basic Transitive', 'S', 'Attribute Object Possessor-Attribute Factoring Alternation', 'HOW-S', 'WHAT-S']","['Basic Intransitive', 'Transitive', 'Transitive', 'PP', 'PP', 'PP', 'NP-ADJP', 'NP-PP']",8.0,1.2292725943057183,0,5,8,2,False,0.773160401200623,8.185283209604984
plow,dig,V,6.64,NONE,3,8,['NP-PP'],['NP-NP'],6.666666666666667,1.699673171197595,0,1,1,3,False,0.2201272108144575,3.76101768651566
believe,pretend,V,1.66,NONE,5,6,"['Basic Transitive', 'NP-PP', 'NP-PP', 'S', 'ING-SC/BE-ING', 'POSSING']",['-1'],1.6666666666666667,1.4142135623730951,0,6,1,3,False,0.2380965248796354,3.904772199037083
